logFC	logCPM	F	PValue	FDR
GG76|c0_g2	-12.7601899573815	9.12882739065663	9.93265915772806	0.00308723964461057	0.0348086269929842
GG6597|c37_g2	-11.516758034981	3.40472644416765	10.2563177698822	0.00291693913999359	0.0335206770101991
GG41708|c0_g1	-11.4742363459128	1.71397431468525	22.994539739476	2.30598435167997e-05	0.00102743626781131
GG19592|c0_g2	-11.3277096224841	1.80311026387079	21.8051023951705	3.42353064376796e-05	0.00137733977081166
GG13074|c0_g1	-11.0940407226947	2.60080669625928	10.6608283098954	0.0022588442793862	0.0283674205618862
GG6597|c35_g1	-10.5697804275914	2.75676701607306	10.3236299302592	0.00283628426515868	0.0328730205610615
GG14240|c0_g1	-10.3700076522654	0.862801541864516	20.9384191566328	4.59034893740795e-05	0.00172994002640708
GG29306|c0_g1	-10.2348711829513	2.35156892741266	23.8455833326775	1.37568330575541e-05	0.000704475911176378
GG26801|c1_g1	-10.0987921349707	4.90208263540078	17.7002217608955	0.000122835025970791	0.00351248054797677
GG42469|c0_g1	-10.0652674536299	0.434089827050798	19.6891309432555	7.06401395092103e-05	0.00237441755932072
GG44277|c10_g1	-9.5377693060574	3.83038460072522	12.7075300654063	0.000881548996897591	0.0148993951763618
GG7497|c0_g1	-9.53515592489806	2.1681320339334	10.2205464399234	0.0029607956977502	0.0338280777786953
GG11803|c0_g1	-9.53398385199383	0.276573988934221	12.5615615238544	0.00160289869227733	0.0225044875381613
GG4210|c0_g1	-9.32822869484233	1.64658939643358	10.3242050243346	0.00260787175271103	0.0311671590641294
GG8327|c1_g1	-9.28710259746899	2.77826376416375	9.86983608510297	0.0034301059481695	0.0374427743565152
GG5220|c3_g1	9.28153030509008	5.5244045366174	15.462517105847	0.000290017048882634	0.00669853394036467
GG13312|c2_g1	-9.13047069451089	3.70717329193472	18.5886008780373	8.82037305274135e-05	0.00276581286530451
GG24640|c59_g1	-9.08178117309148	1.45187350337101	8.96950717252192	0.00471214999553319	0.0462524780203023
GG6539|c2_g3	8.94974187088131	0.66134089481874	12.4458644929016	0.000983080306535698	0.0159143862973005
GG40374|c0_g2	8.73381503168039	-0.124725662965821	11.6655610259401	0.00163949227044474	0.0228065085477938
GG2228|c1_g2	-8.42439351535314	-0.95648941671176	14.7405733961406	0.000761248889474088	0.0134682898841778
GG14209|c1_g1	-7.39029826149222	0.631614322424558	20.6949970225391	4.10623326384826e-05	0.00157315854714973
GG45122|c4_g1	-7.31500649728283	1.34954968639191	23.9301398850736	1.33692424043196e-05	0.000692269623266727
GG46173|c56_g2	-7.21230373054964	-0.551202940746441	24.02743574331	1.64701008271317e-05	0.000813054393278457
GG46083|c3_g1	7.20026164528043	5.08473431678325	169.664339989933	8.16195523030253e-17	1.81522574109682e-12
GG33292|c1_g1	7.15667559162964	-1.51836295193553	12.2220772821632	0.00117858622684228	0.0180991135803074
GG16029|c37_g3	-7.11287091538857	0.0261202268108717	38.8153528788772	2.31918596625612e-07	2.81223177521444e-05
GG665|c1_g1	-7.06889931197878	-0.113596401641799	13.6873811735517	0.000589295695991812	0.0112564244229315
GG40359|c11_g1	7.0182668185013	2.47708030518407	89.6379259373504	3.02122074085193e-12	4.31480675472669e-09
GG12901|c2_g1	-6.95385405182369	-0.505373935089161	12.7544036455329	0.00094944794121536	0.0156375359733828
GG32401|c4_g14	6.92738729680429	-0.714976060276247	9.13694470787001	0.00468816303460765	0.0460874214648791
GG46429|c1_g1	6.92240777807278	-1.68501096148307	12.5155791397935	0.00162916089956854	0.0227268735978671
GG11055|c0_g2	-6.80250823191651	1.42194025468206	16.606124542126	0.000186102513019956	0.00481301539457143
GG1932|c0_g2	-6.68764253430692	-1.11430995062312	10.2962068264549	0.00263937553725213	0.0314122346926577
GG14406|c12_g1	-6.64145249720783	0.0184818435027308	8.94353517674464	0.00476695101416749	0.0465946805023588
GG1423|c0_g1	6.54728334302719	2.64584146564731	13.5266297539118	0.000629184897362094	0.0117933431367181
GG830|c0_g1	-6.54547665575124	10.7272750231075	49.7486441128609	8.83200562770525e-09	2.08297585937081e-06
GG6088|c0_g2	-6.54344016639877	-1.0666679611248	14.0014046673553	0.00066064870924385	0.0121972491488291
GG1931|c2_g1	-6.41923470317566	-0.73037149862254	11.0736301625745	0.0018971640838363	0.0252043395882066
GG12684|c49_g1	6.39040298227342	7.39470337285393	81.5937177390017	1.21844651247638e-11	1.36185236940131e-08
GG35120|c1_g1	-6.27915668948818	-1.47152936385416	10.1482725674242	0.00305157101990823	0.0345428164723826
GG18325|c23_g2	-6.26570188781886	-0.794067244057544	29.6691324247801	2.8915750867832e-06	0.000216716387043544
GG18796|c5_g1	6.24755803102411	8.59863964423548	97.6268857800301	8.20583820802447e-13	1.75789569011404e-09
GG6039|c6_g1	-6.2419001770671	1.68300449101445	87.3537592430082	4.44960595952093e-12	5.71930102007022e-09
GG7923|c13_g2	6.21203601967936	1.41657752833764	10.1725603833109	0.00260641787429028	0.031164271764828
GG7923|c19_g2	6.17622039857674	0.663269598570465	10.5724585873185	0.00218721048868345	0.0277251578069948
GG35120|c2_g1	-6.05224050656332	-0.147810909032491	14.1890718591872	0.000481031125744823	0.00982197549604621
GG38023|c107_g2	-5.92095770065275	-0.79364400784177	12.4062004634604	0.00109333063503217	0.0171379577041292
GG19241|c0_g1	5.78721308308648	6.78450507165933	63.8930628260185	3.71350691395e-10	1.87182592621397e-07
GG23099|c4_g1	5.7519297331185	2.68178897808895	16.7184732675497	0.000178259403997309	0.00465229898330845
GG31255|c9_g1	-5.74938483059663	-0.277024463348466	49.681783387209	8.97548896021882e-09	2.08824372698532e-06
GG6039|c13_g2	-5.72797284914781	5.30841781702784	56.6010415034224	1.79731954980863e-09	6.41717967596257e-07
GG2747|c0_g2	-5.57171047927131	-2.27027566168771	10.3835864632775	0.00434010471010768	0.0439041245886651
GG6847|c3_g1	-5.55491344012866	0.799848490971384	24.1462125659092	1.24298695182519e-05	0.000657478715443828
GG32149|c0_g1	-5.4941869229992	1.95611218135397	10.6474525433321	0.00211685959350394	0.0271683023316055
GG4646|c1_g1	-5.48330083472433	0.914193939337975	40.966722549963	8.17159273772799e-08	1.27313414853802e-05
GG6039|c2_g1	-5.47617861123648	1.91528614238403	63.2844781368578	4.21802531930133e-10	2.04590145062791e-07
GG26797|c0_g1	-5.45995932733082	2.85379548305205	19.7883484039806	5.68667441131572e-05	0.00203603536339406
GG32997|c9_g1	5.43745301538468	2.21140574398151	40.7526130469318	8.65234669706501e-08	1.31612944699083e-05
