logFC	logCPM	F	PValue	FDR
GG5220|c3_g1	-13.437940889227	5.5244045366174	22.1756516905964	2.43868727579877e-05	0.00126393818143062
GG44951|c5_g1	-11.9433373164155	8.5046881626273	15.3913120102404	0.000298238077421748	0.00822618697025846
GG7497|c0_g1	11.0973043102999	2.1681320339334	13.7922950773656	0.000715108660707671	0.015930067886319
GG11930|c106_g1	-10.2654386028037	1.3827372321118	11.0657064654069	0.00208941845628596	0.0338881263443174
GG46083|c3_g1	9.39422681139873	5.08473431678325	232.287877520197	2.5924801423181e-19	6.66448870185713e-15
GG4273|c0_g1	9.18813438933519	2.56395076706399	9.44388393322926	0.0036039874652826	0.0491239161028737
GG23084|c117_g1	8.71837523443366	-0.147386056676015	10.557644913972	0.0025739210763918	0.0391989271983436
GG13625|c19_g1	-8.634656817285	2.50670570619295	15.3274962527209	0.000305814054576501	0.0084080875946504
GG24873|c0_g2	8.57722048421305	6.43749807119675	132.460982520919	5.92390774124147e-15	3.04571792608189e-11
GG19241|c0_g1	8.35048354852607	6.78450507165933	105.938371883076	2.28258304413289e-13	5.24193944347408e-10
GG8155|c14_g1	7.9751670571067	-1.09851897164244	11.4640879996231	0.00201539834030982	0.0331869323457578
GG3222|c0_g1	-7.75445284507417	2.64647668510063	14.1821700139077	0.000482369434516403	0.0120507979136182
GG31420|c26_g1	7.57982069815967	1.02869526733871	10.8721112047024	0.00192004388551212	0.0320926971162939
GG987|c1_g1	7.45133377505141	2.87712903041629	51.5325808086692	5.77017909688224e-09	1.57802121322927e-06
GG40359|c11_g1	7.38048825218311	2.47708030518407	96.4068892149323	9.96434249033062e-13	1.70768901599286e-09
GG8121|c1_g2	7.31569153425152	-0.487566982561171	50.7144512617578	1.33133712808531e-08	3.11280492931085e-06
GG46146|c218_g1	-7.30656914555567	-0.11842683689664	11.0350377608874	0.00192821617432604	0.0321874371385711
GG46378|c1_g1	7.11175358291232	2.59686065757477	90.308793844405	2.6999189765723e-12	3.43247392259239e-09
GG15120|c4_g1	-7.11059931157847	-1.12553670533512	13.8037739948718	0.000624842376767131	0.0145610186333972
GG18796|c5_g1	7.09230353047937	8.59863964423548	116.172611996996	5.19215368465741e-14	1.6684336846436e-10
GG12684|c49_g1	7.03043316571639	7.39470337285393	92.5307159640266	1.86793088563379e-12	2.66771662649933e-09
GG27163|c5_g2	6.98802072564885	0.498862117810836	17.3624750556833	0.000139516712058426	0.00477570721289742
GG901|c5_g2	6.95565463875514	2.54701038793699	72.4180877418006	6.70649686652695e-11	4.20497353531239e-08
GG4669|c0_g1	6.93273071993153	4.82946438412032	63.3618540312268	4.15008920281003e-10	2.01294987050259e-07
GG46221|c286_g1	6.68813509871465	-1.67255074276532	26.329987741097	7.94226081983795e-06	0.000505375492315778
GG7923|c13_g2	-6.60010973021131	1.41657752833764	9.84834059034749	0.00300845439602046	0.0435954549935164
GG30290|c0_g1	6.35332295998656	2.58512516877323	58.7013730658554	1.12800212274226e-09	4.49994167411002e-07
GG24073|c2_g1	6.34297769637432	2.74812473220717	78.8823768770749	1.98981950886206e-11	1.50447912100932e-08
GG46221|c274_g1	6.33361862707955	4.97098046682929	32.181628959633	9.74077893080147e-07	9.52784783738141e-05
GG23102|c3_g1	-6.30845407724364	0.8547942075985	11.5140688384744	0.00145695734530469	0.0265819747876137
GG24052|c2_g1	6.29694518159212	3.04497975266553	111.393214407926	1.024121756871e-13	2.92523311154253e-10
GG12480|c15_g2	6.26449365973142	-0.282371098821399	10.1311931852879	0.00283345031135955	0.0417501724364687
GG27181|c5_g1	6.23564165600925	1.37822163047509	15.6697606854244	0.00026741648421907	0.00758820007992932
GG987|c2_g1	6.23495076100744	5.6427714977189	41.2494058893129	7.57926488081423e-08	1.19937195658679e-05
GG45890|c68_g1	-6.16703184768727	0.197037614928785	13.6809950085673	0.000590828536337922	0.0139503212441623
GG3563|c6_g1	6.1143295192998	7.94837246209592	47.9327859618797	1.37398798682524e-08	3.15367046226039e-06
GG901|c7_g1	6.10836586006783	-1.48039805085346	31.8569559266591	1.53350002688203e-06	0.000135469708560331
GG11613|c3_g1	-6.06423156573498	-1.45806076743506	11.0950884954821	0.00188012814148645	0.0316519018553976
GG25355|c0_g1	6.01071634960307	-1.03214397839604	16.8449644210545	0.000169842559157753	0.00551280639932874
GG37483|c157_g1	6.00622063487479	1.14782544571184	59.2036452585244	1.01054092046644e-09	4.25868449875915e-07
GG27000|c0_g1	5.99824570163737	2.93084106586948	120.77578024782	2.75094998751859e-14	1.07843716693142e-10
GG278|c7_g1	-5.96474222860348	-0.321416854969819	15.6194180146443	0.000272730781880422	0.0076875989142544
GG43496|c1_g1	5.93785250257463	1.35145931439733	10.6246772251051	0.00213796873980761	0.0343934683318111
GG45588|c26_g1	5.93683703573701	4.21405486814837	156.991142363243	3.20903143979179e-16	2.74981904075758e-12
GG35519|c7_g1	5.90200732692614	3.89267653030428	54.7575869380411	2.7276197935431e-09	8.44806289549548e-07
GG18191|c1_g1	5.86138615888	9.44190639267249	90.0827704877155	2.80398149820828e-12	3.43247392259239e-09
GG27000|c2_g1	5.81655737720888	5.50073870145534	120.296499432808	2.93657765142566e-14	1.07843716693142e-10
GG26623|c1_g1	5.72048010161832	1.67144853227888	44.8923321087211	2.93925713007582e-08	5.5558443413867e-06
GG46221|c311_g4	5.61315102557087	5.12042589450367	73.5938950642452	5.34981566237549e-11	3.52635157006889e-08
GG44870|c2_g2	5.56943073434095	2.19549244318465	13.7354107842784	0.000577900555110121	0.0137302121721034
GG6653|c1_g1	5.55188771618647	2.28753638461638	52.0051229479068	5.16193209138428e-09	1.4744198697024e-06
GG22945|c6_g1	5.54153547925864	6.8324602857132	40.2429193900635	9.9196944806571e-08	1.47402072840608e-05
