logFC	logCPM	F	PValue	FDR
GG76|c0_g2	16.9357179977238	9.12882739065663	12.9172229349418	0.00088917804108814	0.0127130700234999
GG5220|c3_g1	10.6930306544276	5.5244045366174	17.9078186651108	0.000113632037599079	0.00262692337280533
GG20933|c85_g2	-10.5201714062329	3.06742538282218	9.62092283143356	0.00353568540306987	0.0352430650084207
GG21125|c0_g2	9.62909017363917	0.750621812082558	10.2412809629001	0.00326292288332139	0.0333121360450925
GG6597|c30_g1	9.49387328643421	0.295059875759994	12.9630179876153	0.00114278407731944	0.0153407573240997
GG43726|c0_g1	9.34152249355098	0.392786791129249	15.4004746559436	0.000336799972495093	0.00617114532639442
GG46083|c3_g1	8.98464725453118	5.08473431678325	216.007894715513	1.00874098348874e-18	1.29658522312726e-14
GG46378|c1_g1	8.92955259624744	2.59686065757477	112.398455928617	8.86241692002126e-14	1.2657008431277e-10
GG41879|c0_g1	-8.85183347491724	0.378732601329268	8.69756948421014	0.00532089978783158	0.0471020560763727
GG26739|c1_g2	8.03582361978444	1.14404856178039	17.6280726625755	0.000147159609671442	0.0032114024497655
GG33652|c4_g2	-7.98524453922607	0.585177492015095	21.5860309730049	3.6853732661027e-05	0.00109779710952146
GG46083|c1_g1	7.95918732434145	-1.15882568768836	13.185110913345	0.00170002295348636	0.0206297458523897
GG11034|c1_g1	7.88175991188081	4.29324743838255	8.81080972530616	0.00479998372329115	0.0438341675220766
GG26623|c1_g1	7.72061904223138	1.67144853227888	71.4150692615753	8.14753470651381e-11	2.72011265844611e-08
GG40359|c11_g1	7.44100838579437	2.47708030518407	100.057670106341	5.60107061849862e-13	5.33284156999052e-10
GG1411|c5_g1	-7.41658054568619	7.26376895076939	250.567120417631	6.18542075664211e-20	1.59008611390999e-15
GG21138|c244_g1	7.33534008715512	0.050323904803618	37.5812328557439	2.05443450254093e-07	1.62004134223373e-05
GG35519|c7_g1	7.31991601885986	3.89267653030428	76.432278379696	3.12918198856857e-11	1.2768552600021e-08
GG34280|c15_g2	7.26875882462748	-0.222699427912266	10.6726612124084	0.00392187327221554	0.0379591853195952
GG27163|c5_g2	-7.2228671773444	0.498862117810836	15.3118051540114	0.000307707635625164	0.00577811555077873
GG45109|c4_g3	7.16446099935228	-0.211044856780626	42.5401789801798	5.3928574044831e-08	5.45803879122233e-06
GG44870|c2_g2	-7.04380118878147	2.19549244318465	19.2337477596555	6.95782855097272e-05	0.00180671614706925
GG17651|c18_g5	-7.0362226162604	3.10648639745291	27.4087902396233	4.26060629347491e-06	0.000193363692214336
GG19241|c0_g1	7.03392622921389	6.78450507165933	86.5277458844435	5.12688301670072e-12	3.13801861215061e-09
GG24873|c0_g2	6.9907445956408	6.43749807119675	102.506677959569	3.83712510642785e-13	3.94563900443763e-10
GG32997|c9_g1	6.8545591736284	2.21140574398151	55.3160850853304	2.40180153118938e-09	4.37894411080038e-07
GG4973|c0_g2	-6.83842823735323	-1.59777667090037	11.1457254761451	0.00202244561997899	0.023493452125079
GG830|c0_g1	-6.83296452305857	10.7272750231075	52.8118592100742	4.27349047212577e-09	6.82351674328802e-07
GG40372|c2_g2	-6.78777164699208	1.41101904273172	52.7233805715725	4.36259673794483e-09	6.88032357928513e-07
GG41350|c1_g2	-6.7809691880609	-1.03255602984041	9.42005972749946	0.00455724556820718	0.0422385516281143
GG31420|c26_g1	6.76428768483024	1.02869526733871	8.59461027244867	0.00529945283112066	0.0469924739184253
GG15521|c22_g1	-6.68880307178669	2.02599777143731	62.3633134563976	5.12224861372683e-10	1.26613120301034e-07
GG44707|c106_g2	-6.65097403787781	2.63404260655926	103.014158821811	3.5506968640953e-13	3.94563900443763e-10
GG370|c0_g1	6.64903070855197	2.45171247625886	68.8715259060689	1.34516009357427e-10	4.16626873801371e-08
GG27206|c6_g1	-6.62644582041821	-1.17081578428212	23.0629246106904	2.25474998853937e-05	0.000741213017332246
GG5569|c0_g1	-6.61216807134786	4.6569253214292	118.38409453335	3.81797027142229e-14	6.54323745116352e-11
